Crop,Variety name/code,Year of relea se,Owner( s),Maintainer,Optimal production altitude range (Masl),Durat ion to matu rity (mon ths),Root yield (tha-1 y-1),Special attributes
CASSAVA,1. Kaleso,1969,KARI,"KARI-
Mtwapa",1-1500,12-18,25-30, Low cyanide
CASSAVA,2. Guzo,1969,KARI,"KARI-
Mtwapa",1-700,12-15,20-40, Resistant to CMV
CASSAVA,3. 5543/156,1969,KARI,"KARI-
Mtwapa",1-500,12-14,30-55, High cyanide
CASSAVA,4. KME 1,2000,KARI,"KARI-
Katumani",250-1500,12-14,20, Low cyanide
CASSAVA,5. KME 61,2000,KARI,"KARI-
Katumani",250-1500,14,35," Low cyanide
 Early maturity"
CASSAVA,6. MUCERICERI,2000,KARI,"KARI-
Katumani",250-1750,12-14,20," Low cyanide
 Early maturity"
CASSAVA,7. Shibe,2008,KARI,KARI,15-1200,8-12,70.1," Resistant to CMV
 Tolerant to CBSD
 Straight stems ideal
for intercropping"
CASSAVA,8. Tajirika,2008,KARI,KARI,15-1200,8,63.3," Resistant to CMV
 Tolerant to CBSD
 Straight stems ideal
for intercropping"
CASSAVA,9. Siri,2008,KARI,KARI,15-1200,8-12,57.7," Resistant to CMV
 Tolerant to CBSD
 Straight stems ideal
for intercropping"
CASSAVA,10. Nzalauka,2008,KARI,KARI,15-1200,6-8,52.9," Resistant to CMV
 Tolerant to CBSD
 Straight stems ideal
for intercropping"
CASSAVA,11. Karibuni,2008,KARI,KARI,15-1200,8-12,52.7," High branching
heights"
CASSAVA,12. Karembo,2008,KARI,KARI,15-1200,8,68.2," Short with open
structure"
CASSAVA,13. Siri,2008,KARI,KARI,15-1200,8-12,57.7," Resistant to CMV
 Tolerant to CBSD,
Very short
 No branches"
CASSAVA,14. Nzalauka,2008,KARI,KARI,15-1200,6-8,52.9," Resistant to CMV
 Tolerant to CBSD
 Straight stems ideal
for intercropping"
CASSAVA,15. Karibuni,2008,KARI,KARI,15-1200,8-12,52.7," Resistant to CMV
 Tolerant to CBSD
 Straight stems ideal
for intercropping"
CASSAVA,16. Karembo,2008,KARI,KARI,15-1200,8,68.2," Short with open
structure"
CASSAVA,17. KME2,2010,KARI,"KARI
KATUMANI","Warm, Semi-arid areas,
200 – 2000 m.a.s.l., Sweet
in Taita Taveta districts. It
also yields well in all the
semi-arid areas",8-10,45," Resistant to cassava
mosaic disease
 Early maturing
 Low CNP
 Sweet
 Resistant to CMD
 Poundable"
