Crop,Variety name/code,Year of release,Owner(s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to peak production (months),Flower yield (t ha-1 y-1),Special attributes
PYRETHRUM,1. 4743,1968,KARI,PBK,<2100,9-10,-," High pyrethrins
content"
PYRETHRUM,2. 3092,1968,KARI/PBK,PBK,1900,9-10,-," High pyrethrins
content"
PYRETHRUM,"3. Ma/62/
428",1968,KARI/PBK,PBK,2200,9-10,-," High pyrethrins
content"
PYRETHRUM,4. P4,1970,KARI/PBK,PBK,2100,9-10,0.6 - 0.8," High pyrethrins
content"
PYRETHRUM,"5. Sb/66/1
07",1976,KARI/PBK,PBK,2200,9-10,0.9 -1," High pyrethrins
content"
PYRETHRUM,"6. Ks/71/9
6",1977,KARI/PBK,PBK,1700,9-10,-," High pyrethrins
content"
PYRETHRUM,"7. Sb/65/5
8",1977,KARI/PBK,PBK,1900,9-10,-," High pyrethrins
content"
PYRETHRUM,"8. Mo/70/
845",1977,KARI/PBK,PBK,2200,9-10,-," High pyrethrins
content"
PYRETHRUM,"9. Mo/70/
1124",1979,KARI/PBK,PBK,2200,9-10,0.9 - 1," High pyrethrins
content"
PYRETHRUM,"10. Ma/71/
423",1979,KARI/PBK,PBK,2200,9-10,1 - 1.1," High pyrethrins
content"
PYRETHRUM,"11. Ma/75/
4",1979,KARI/PBK,PBK,2200,9-10,0.9 - 1," High pyrethrins
content"
PYRETHRUM,"12. Mo/74/
122",1982,KARI/PBK,PBK,1700,9-10,0.9 - 1," High pyrethrins
content"
PYRETHRUM,13. Ks/71/6,1979,KARI/PBK,PBK,1700,9-10,0.9 - 1," High pyrethrins
content"
PYRETHRUM,"14. Ks/75/3
13",1979,KARI/PBK,PBK,1700,9-10,1.1 - 1.2," High pyrethrins
content"
PYRETHRUM,"15. KS/70/6
4",1979,KARI/PBK,PBK,1700,9-10,1 - 1.2," High pyrethrins
content"
PYRETHRUM,"16. Ma/70/
1013",1979,KARI/PBK,PBK,2200,9-10,1.1 - 1.2," High pyrethrins
content"
PYRETHRUM,"17. L/75/48
7",1980,KARI/PBK,PBK,2200,9-10,1.1 - 1.2," High pyrethrins
content"
PYRETHRUM,"18. Ks/75/3
36",1980,KARI/PBK,PBK,1700,9-10,1.1 - 1.2," High pyrethrins
content"
PYRETHRUM,"19. L/75/47
7",1980,KARI/PBK,PBK,2200,9-10,1 - 1.1," High pyrethrins
content"
PYRETHRUM,"20. Ks/72/4
3",1980,KARI/PBK,PBK,1700,9-10,0.9 - 1," High pyrethrins
content"
PYRETHRUM,"21. Ma/74/
223",1982,KARI/PBK,PBK,2200,9-10,0.9 - 1," High pyrethrins
content"
PYRETHRUM,"22. Mo/74/
443",1982,KARI/PBK,PBK,1700-2200,9-10,1 - 1.1," High pyrethrins
content"
PYRETHRUM,23. K218,1988,KARI/PBK,PBK,1700,9-10,0.9 - 1.1," High pyrethrins
content"
PYRETHRUM,24. K235,1988,KARI/PBK,PBK,1700,9-10,0.6 - 1.1," High pyrethrins
content"
PYRETHRUM,25. KENT 1,2023,"KENTEGRA
PYRETHRU
M
COMPANY","KENTEGRA
PYRETHRU
M
COMPANY","Altitude:2200-2800
m.a.s.l AEZ:UH1-3
Sites
:Nakuru,UasinGishu
,Elgeyo
Marakwet,Nandi,Ba
ringo, Narok,
Laikipia, Trans
nzoia, West Pokot,
Kisii, Nyamira,
Kiambu, Nyeri,
Nyandarua,Meru ,
Embu ,and
Bungoma","2-3 (from
trans-
planting)","1.35-
1.85 per
year for
4-6 years"," Pyrethrin
content of 1.78 -
2.14"
PYRETHRUM,26. KENT 2,2023,"KENTEGRA
PYRETHRU
M
COMPANY","KENTEGRA
PYRETHRU
M
COMPANY","Altitude:2200-2800
m.a.s.l AEZ:UH1-2
Sites
:Nakuru,UasinGishu
,Elgeyo
Marakwet,Nandi,Ba
ringo, Narok,
Laikipia, Trans
nzoia, West Pokot,
Kisii, Nyamira,
Kiambu, Nyeri,
Nyandarua,Meru ,
Embu ,and
Bungoma","1.5-2from
trans-
planting","1.30-
1.78 per
year for
3-4 years"," Pyrethrin
content of 1.70 -
2.16"
PYRETHRUM,27. KENT 3,2023,"KENTEGRA
PYRETHRU
M
COMPANY","KENTEGRA
PYRETHRU
M
COMPANY","Altitude:2400-3000
m.a.s.l AEZ:UH1-2
Sites:Nakuru,Uasin
Gishu,Elgeyo
Marakwet,Nandi,Ba
ringo, Narok,
Laikipia, Trans
nzoia, West Pokot,
Kisii, Nyamira,
Kiambu, Nyeri,
Nyandarua,Meru ,
Embu ,and
Bungoma","2-2.54from
trans-
planting","1.2-1.7
per year
for 4-5
years"," Pyrethrin
content of 1.84 -
2.09"
PYRETHRUM,28. KENT 4,2023,"KENTEGRA
PYRETHRU
M
COMPANY","KENTEGRA
PYRETHRU
M
COMPANY","Altitude:2200-3000
m.a.s.l AEZ:UH1-2
Sites
:Nakuru,UasinGishu
,Elgeyo
Marakwet,Nandi,Ba
ringo, Narok,
Laikipia, Trans
nzoia, West Pokot,
Kisii, Nyamira,
Kiambu, Nyeri,
Nyandarua,Meru ,
Embu ,and
Bungoma","2.5-3from
trans-
planting","1.13-1.8
per year
for 3-4
years"," Pyrethrin
content of 1.82 -
2.12"
