Crop,Variety name/code,Official variety release Name,Year of release in Kenya,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Lint yield (t ha-1),Special attributes
COTTON,1. KSA 81 M,,1998,KARI,KARI-Kibos,0-1300,4-5,2-5, Fine fibre lint
COTTON,2. AF0903,"IRMA
L457",2012,"CIRAD/IRA
D/SODECO
TON*",IRAD,0 - 1650,"2.5 at 0 -
500m
2.5-3 at
1000-1650m",2," Tolerance to
Bacterial blight"
COTTON,3. AF0904,"IRMA
L484",2012,"CIRAD/IRA
D/SODECO
TON*",IRAD,0 - 1650,"2.5 at 0 -
500m
2.5-3 at
1000-1650m",2," Tolerance to
Bacterial blight"
COTTON,4. 06K486,DP 486,2012,"Monsanto
(K) Limited","Monsanto
Inc.",0 - 1300,4-5,3-5," High GOT
 Long , strong lint"
COTTON,5. 06K485,DP485,2015,"MONSANT
O (K) LTD","MONSANT
O (K) LTD","0-1300 m
ASL",4-5,"1.1
5"," High yield
 Long fiber length
 Good leaf
pubescence
(hairiness)."
COTTON,"6. HA-211 /
Intercott
211",HA - 211,2017,"Hazera
Seeds","Hazera
Seeds","Medium
Altitude",1 ys,1.9," Lint Quality
 Values Strength
(gr/tex): 34 – 36
 Elongation %: 7.5
- 8.0
 Fineness (micr.):
3.6 - 3.8
 Length (inch):
1.36 - 1.37"
COTTON,"7. HA-701 /
Intercott
701",HA - 701,2017,"Hazera
Seeds","Hazera
Seeds","Medium
Altitude",1 ys,1.9," Lint Quality
Values
 Strength
(gr/tex): 33 – 35
 Elongation %: 6.5
- 7.5
 Fineness (micr.):
3.6 - 3.8
 Length (inch):
1.33 – 1.34"
COTTON,8. C 567,"MAHYCO
C 567",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4,LM 5,
L3, L4,
Sites:Mwe
a,Perkerra,
Kibos,Barw
essa,Matu
ga, Bura
and Alupe",5-6,"1.9
6 -
2.2
9"," Medium
Maturity
 Tolerant to
sucking pests
such as jassids
and aphids
 Medium hairy
leaves
 Long staple
length with high
fibre strength"
COTTON,9. C 569,"MAHYCO
C 569",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4,LM 5,
L3, L4,
Sites:Mwe
a,Perkerra,
Kibos,Barw
essa,Matu
ga, Bura
and Alupe",5-6,"1.5
5-
2.8
9"," Medium
Maturity
 Tolerant to
sucking pests
such as jassids
and aphids Large
Boll Size
 Long staple
length with high
fibre strength
 Large Boll size"
COTTON,10. C 570,"MAHYCO
C 570",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4,LM 5,
L3, L4,
Sites:Mwe
a,Perkerra,
Kibos,Barw
essa,Matu
ga, Bura
and Alupe",5-6,"1.5
5-
1.9
3"," Early Maturity,
Large Boll Size
 Tolerant to
sucking pests
such as jassids
and aphids
 Long staple
length with high
fibre strength"
COTTON,11. C 571,"MAHYCO
C 571",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4,LM 5,
L3, L4,
Sites:Mwe
a,Perkerra,
Kibos,Barw
essa,Matu
ga, Bura
and Alupe",5-6,"1.8
9-
2.5
0"," Early Maturity
 Tolerant to
sucking pests
such as jassids
and aphids
 Long staple
length with high
fibre strength"
COTTON,"12. MRC 7017
BG-II","MAHYCO
C 570
BGII",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4, LM
5, L3, L4,
Sites:
Mwea,
Perkerra,
Kibos,
Barwessa,
Matuga,
Bura and
Alupe",5-6,"2.2-
3.0"," Tolerant to
Bollworm
Complex
 Early Maturity,
Large Boll Size
 Tolerant to
sucking pests
such as jassids
and aphids
 Long staple
length with high
fibre strength"
COTTON,"13. MRC 7031
BG-II Bt.
Cotton","MAHYCO
C 569
BGII",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4, LM
5, L3, L4,
Sites:
Mwea,
Perkerra,
Kibos,
Barwessa,
Matuga,
Bura and
Alupe",5-6,"2.7-
3.1"," Tolerant to
Bollworm
Complex
 Medium
Maturity
 Tolerant to
sucking pest
such as jassids
and aphids
 Long staple
length with high
fibre strength
 Large Boll Size"
COTTON,"14. MRC 7361
BG-II Bt.
Cotton","MAHYCO
C 571
BGII",2020,"Mahyco
Kenya
Private
Limited","Mahyco,
India","Altitude: 1
to 1500,
AEZ: LM 3,
LM 4, LM
5, L3, L4,
Sites:
Mwea,
Perkerra,
Kibos,
Barwessa,
Matuga,
Bura and
Alupe",5-6,"2.5-
2.6"," Tolerant to
Bollworm
Complex
 Medium
Maturity
 Tolerant to
sucking pest
such as jassids
and aphids
 Long staple
length with high
fibre strength
 Long staple
length with high
fibre strength"
