Crop,Variety name/code,Year of release,Owner(s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield(t ha-1),Special attributes
COMMON_BEAN,"1. Mwitemani
a (GLP 92)",1982,KARI/KSC,KARI/KSC,900-1600,2-3,1.2-1.5, Drought tolerant
COMMON_BEAN,"2. Rosecoco
(GLP 2)",1982,KARI/KSC,KARI/KSC,1500-2000,2-3,1.8 - 2," High yield
 Wide adaptation
 Attractive seed colour
Good taste"
COMMON_BEAN,"3. Mwezi
Moja
(GLP1004)",1982,KARI/KSC,KARI/KSC,1200-1600,2-3,1.2 - 1.5," Good performance in
dry areas
 Early maturity
 Tolerant to drought
and bean fly"
COMMON_BEAN,"4. Canadian
Wonder
(GLP-24)",1982,KARI/KSC,KARI/KSC,1200-1800,3 - 3.5,1.3 - 1.8," Moderately resistant
to angular leaf spot"
COMMON_BEAN,"5. GLP-92
Pinto bean",1982,KARI/KSC,KARI/KSC,100-1500,3 - 3.5,1.2 - 1.7," Wide adaptation
 Resistant to halo
blight"
COMMON_BEAN,"6. GLP-585
Red haricot",1982,KARI,KARI,1500-2000,2.5 - 3,1 - 1.5," Suitable for high
rainfall areas
 Resistant to bean
common mosaic virus"
COMMON_BEAN,"7. GLP-X 1127
New Mwezi
Moja",1982,KARI/KSC,KARI/KSC,1000-1500,2.5 - 3,1 - 1.5," Wide adaptation
 Resistant to bean
common mosaic virus
 Tolerant to rust."
COMMON_BEAN,8. Kat/Bean 2,1987,KARI,"KARI-
Katumani",1200-1800,2-3,1-1.2, Tolerant to shading
COMMON_BEAN,9. Kat X 16,1994,KARI,"KARI-
Katumani",900-1600,2-3,1.5-1.8, High yielding
COMMON_BEAN,10. Kat X56,1995,KARI,"KARI-
Katumani",900-1800,2.5-3,1.5-1.8, High yielding
COMMON_BEAN,11. Kat X 69,1995,KARI,"KARI-
Katumani",1200-1800,2-3,1.5-1.8, High yielding
COMMON_BEAN,"12. KK 22
(RWR 719)",1996,KARI,"KARI-
Kakamega",1500-1800,2.5 - 3,1.8-2, Tolerant to root rot
