Crop,Variety name/code,Year of release,Owner( s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
COWPEA,"1. HB
48/10E",1987,KARI,KARI-Katumani,0-1200,2 – 2.5,1.2-1.4," Tolerant to viral
diseases"
COWPEA,2. 27-1,1989,KARI,KARI-Katumani,600-1200,2.5 - 3,1.5-1.8, Dual purpose
COWPEA,3. ICV11,1992,ICIPE,ND,1-1500,2.5,2.2, Pest tolerant
COWPEA,"4. MTW
63",1998,IITA,KARI,1-1000,2,2.5, Pest tolerant
COWPEA,"5. MTW
610",1998,IITA,KARI,1-1000,2,2.5, Large seeds
COWPEA,"6. Machak
os 66
(M66)",1998,KARI,KARI-Katumani,1200-1500,2.5-3,1.5-1.8," Dual purpose,
Deep green mid
ribs"
COWPEA,7. K 80,2000,KARI,"KARI –
Katumani",1200-1800,2.5-3,1.8-2.0," Dual purpose,
Tolerant to thrips,
Silvery mid ribs"
COWPEA,"8. KVU –
419
(Kunde
419)",2000,KARI,KARI-Katumani,0-1200,2 – 2.5,1.2-1.5," Drought tolerant,
Extra early"
COWPEA,9. KCP 022,2000,KARI,KARI-Katumani,0-1200,2 – 2.5,1.2-1.5, Super early
COWPEA,10. Kunde 1,ND,"Wester
n Seed
Co.","Western Seed
Co.",Below 2000,2.5 - 3,1.2-2.5, Dual purpose
COWPEA,"11. KUNDE
MBOGA",2014,"Simlaw
Seeds
Compa
ny","Simlaw Seeds
Company","Low and Mid
altitude",4-5,"Seed yield:
1.6–2.2
t/ha, Leaf
yield: 12-
15t/ha"," A vegetable
cowpea-High leaf
yield with long
harvesting period
 Drought resistant
 Leaf cooks well
and good
vegetable
palatability"
COWPEA,"12. SIMLA
W
KUNDE",2014,"Simlaw
Seeds
Compa
ny","Simlaw Seeds
Company","Low and Mid
altitude",2-3,"Seed yield,
1.8 - 2.6
t/h"," A grain cowpea
with bigger grain
size
 Drought resistant
 High grain yield"
COWPEA,"13. 1002/10
05/3",2017,KALRO,"KALRO
Katumani","Low - High
altitudes
ranging from",2-3,1.5 - 2.13," Large size grain
 Early maturing"
COWPEA,"(Kunde
Faulu)",,,,"5 – 2000
meters above
sea level
(Coastal ,
Eastern,
Central and
Western)",,," Alectra vogelii
tolerant
 Dual purpose"
COWPEA,"14. 1005/10
02/1
(Kunde
Tamu)",2017,KALRO,"KALRO
Katumani","Low - High
altitudes
ranging from
5 – 2000
meters above
sea level",2-3,1.5 - 2.0," Early maturing
 Alectra vogelii
tolerant
 Tender and sweet
leaves when
cooked
 Dual purpose"
COWPEA,"15. 1005/10
03/3
(KAT
Kunde)",2017,KALRO,"KALRO
Katumani","Low - High
altitudes
ranging from
5 – 2000
meters above
sea level",2-3,1.4 - 2.0," Alectra vogelii
tolerant
 Dual purpose"
COWPEA,"16. 1005/10
02/1/1/
1
(Kunde
Soko)",2017,KALRO,"KALRO
Katumani","(Coastal ,
Eastern,
Central and
Western)",2-3,1.4 - 1.9," Large size grain
 Alectra vogelii
tolerant
 Dual purpose"
COWPEA,"17. 1005/10
04/3
(Kunde
Tumaini",2019,KALRO,"KALRO-
KATUMANI","Altitude:600-
1500 masl
AEZ:LM 4-5,LM
3-4
Examples:Katu
mani, Kambi
mawe,Kitui,kib
oko and embu",2-3,1.5-2," Drought tolerant
 Tolerant to
A.vogelli parasitic
weed
 Dual purpose(grain
and vegetable)
 White grain with
brown eyes"
