Crop,Variety testing name/code,Offici al Rele ase Name,Year of rele ase,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MAIZE,1. H512,H512,1970,"Kenya
Seed
Co/KARI.","Kenya Seed
Co/KARI.",1200-1600,4-5,5-7, Large kernels
MAIZE,2. CCM,CCM,1974,"Kenya
Seed
Co/KARI","Kenya Seed
Co. Ltd",1-1200,4-5,5-7, Heat tolerant
MAIZE,3. H625,H625,1981,"KARI/Ken
ya Seed
Co.","Kenya Seed
Co/KARI",1500-2100,6-8,8-10," Prolific Good husk
cover"
MAIZE,4. H614D,"H614
D",1986,"Kenya
Seed Co/
KARI","Kenya Seed
Co. Ltd
/K.A.R.I-",1500-2100,6-9,8-10," Stable over locations
and seasons Semi flint"
MAIZE,5. H611D,"H611
D",1986,"KARI/Ken
ya Seed
Company","KARI/Kenya
Seed
Company",1700-2400,6-9,7.8, Frost tolerant
MAIZE,6. H612D,"H612
D",1986,"KARI/Ken
ya Seed
Company","KARI/Kenya
Seed
Company",1500-2100,6-8,7.8, Semi flint
MAIZE,7. H613D,"H613
D",1986,"KARI/Ken
ya Seed
Company","KARI/Kenya
Seed
Company",1500-2100,6-8,8-10, Semi flint
MAIZE,8. H632,H632,1964,"KARI/Ken
ya Seed
Co.","KARI/Kenya
Seed Co.",1200-1700,5-7,6-8, Large kernels Dent
MAIZE,9. H622,H622,1965,"Kenya
Seed
Co/KARI","Kenya Seed
Co/KARI.",1200 - 1700,5-7,6-8, Large kernels Dent
MAIZE,10. H511,H511,1967,"Kenya
Seed
Co/KARI","Kenya Seed
Co/KARI.",1000 - 1500,4-5,6-4, Medium maturity
MAIZE,"11. KAT
CB","KAT
CB",1967,"Kenya
Seed
Co/KARI","Kenya Seed
Co/KARI.",900-1350,3-4,5-3, Early maturing
MAIZE,12. H6211,"H621
1",2001,"Kenya
Seed Co","Kenya Seed
Co.",1500-2100,6-8,14-9," Early
 Short
 Semi flint"
MAIZE,13. H6212,"H621
2",2001,"Kenya
Seed Co.","Kenya Seed
Co.",1500-2100,6-8,15-10," Short, semi flint
 Resistant to ear rot"
MAIZE,14. FS650,"FS65
0",2001,"OCD
(Faida
Seeds)","OCD (Faida
Seeds)",1500-2200,5-7,9-8," Tolerant to maize
streak virus
 Good yielder
 Flint kernels"
MAIZE,"15. KH634
A","KH63
4A",2001,KARI,"KARI
Kakamega",1400-1800,3-5,5-6," Resistant to blight,
Grey leaf spot"
MAIZE,"16. KH600
-15A","KH60
0-
15A",2001,KARI,KARI-Kitale,1800-2500,6-8,7-8, Good stand ability
MAIZE,"17. KH600
-16A","KH60
0-
16A",2001,"KARI-
Kitale",KARI-Kitale,1800-2500,6-8,7-8," Stable
 Good standability"
MAIZE,"18. PAN
99","PAN
99",2001,"Pannar
Seed Co.","Pannar Seed
(K)",1000-2000,5-6,7-8," Grey leaf spot
tolerant
 Drought tolerant"
MAIZE,"19. PAN
5243","PAN
5243",2001,"Pannar
Seed
Company
(S.A)","Pannar Seed
(K) Ltd",800-1800,4-5,7-8," Tolerant to grey leaf
spot and northern leaf
blight Prolific"
MAIZE,"20. PAN
67","PAN
67",2001,"Pannar
Seed
Company
(S.A)","Pannar Seed
(K) Ltd",800 - 1600,4-5,5-6," Resistant to maize
streak virus
 Tolerant to low soil
nitrogen"
MAIZE,21. H516,H516,2001,"Kenya
Seed Co.","Kenya Seed
Co.",1200-1500,4-5,7-9," Resistant to blight,
rust and lodging"
MAIZE,22. DH04,DH04,2001,"Kenya
Seed Co.","Kenya Seed
Co.",900 - 1500,3-4,5-6, Short stature
MAIZE,23. DH05,DH05,2001,"Kenya
Seed Co.","Kenya Seed
Co.",900 - 1500,3-4,7-5," High yielding and
early maturing"
MAIZE,"24. PAN
691","PAN
691",2001,"Pannar
Seed Ltd","Pannar Seed
(K) Ltd",1700-2400,6-9,7-8," Grey leaf spot
tolerant
 Good standability
 Low ear placement"
MAIZE,"25. Masen
o
Doubl
e
Cobbe
r","Mase
no
Doub
le
Cobb
er",2002,"Lagrotec
h Seed
Co.","Lagrotech
Seed Co.",1000-1600,3-4,4-6.8," Prolific-frequency of
30-80%)
 Flint kernels"
MAIZE,"26. PHB30
H83","PHB3
0H83",2002,"Pioneer
Hibred
Zimbamb
we","Pioneer
Hibred,
Zimbabwe",1000-2000,5-6,8-11," Grey leaf spot
tolerant
 Ear rot resistance"
