Crop,Variety name/code,Official Release Name,Year of release,Owner( s)/ Licensee,Maintainer,Optimal production altitude range (Masl),Duration to maturity (months),Grain (G) and/or Forage(F) yield (t ha-1),Special attributes
SORGHUM,"1. Sered
o",Seredo,1970s,"KARI/KS
C",KARI/KSC,250-1750,4,2.7 (G), Wide adaptability
SORGHUM,"2. Seren
a",Serena,1970s,"KARI/KS
C",KARI/KSC,250-1750,3,2.7 (G), Wide adoptability
SORGHUM,3. BJ28,BJ28,1978,KARI,KARI-Lanet,1750-2300,7,"2.5-3.0
(G)", Dual purpose
SORGHUM,"4. 2K x
17",2K x 17,1981,"KARI/KS
C",KARI/KSC,250-1500,3,2.5 (G)," Hard endosperm
Dehulled to make
a rice like product"
SORGHUM,5. IS76,IS76,1981,"KARI/KS
C",KARI/KSC,250-1500,3,2-3 (G)," Semi hard
endosperm"
SORGHUM,6. IS8595,IS8595,1982,KARI,"KARI-
Katumani",250-1800,3,2.7 (G)," Grain covered by
glum Low bird
damage"
SORGHUM,"7. Gada
m",Gadam,1994,KARI,KARI,0-1500,3,2-2.5 (G)," Specially adapted
to coastal and
semi-arid lowlands"
SORGHUM,"8. Ikinyal
uka","Ikinyalu
ka",1996,KARI,"KARI
Kakamega",1750-2300,7,8 (F), High quality forage
SORGHUM,"9. IS
8193",IS 8193,1996,KARI,KARI,500-1600,4,2.5 (G)," Resistant to bird
damage"
SORGHUM,"10. Kat/PR
O I","Kat/PR
O I",1998,"KARI/KS
C",KARI/KSC,1000-1700,,-,
SORGHUM,"11. KARI
Mtam
a-1","KARI
Mtama
-1",2000,KARI,"KARI-
Katumani",250-1800,3-3.5,3.4 (G)," Tolerant to stem
borer"
SORGHUM,12. E1291,E1291,2000,KARI,KARI-LANET,1750-2300,7,"2.7 (G)
2.7 (F)"," Dual purpose
 Good beverage
quality"
SORGHUM,13. E 6518,E 6518,2000,KARI,KARI-LANET,1750-2300,8,"3.4 (G)
7.2 (F)", High quality
