market,lon,lat
Awendo,34.52846,-0.87469
Aram,35.83546,0.161726
Kababu,37.65,0.05
Elwak Livestock Market,40.8318,2.831778
Akala,34.42605,-0.059466
Kangeta,37.8833,0.2833
Old port Fish Market,39.67955,-4.058054
Elwak Market,40.93211,2.810566
Rongo,34.59862,-0.818652
Kabiyet Market,35.0833,0.4
Ortum,35.35629,1.44038
Kajiado Market,36.78832,-1.841601
Ngong market,36.65675,-1.3598
Taveta,37.6833,-3.4
Katito,34.97325,-0.274214
Garissa Soko Mugdi,40.35641,-0.523633
Kagio,37.25,-0.6166
Marigat,36.03507,0.438553
Masii Crops,37.43919,-1.4608
Eldoret Main,35.27274,0.518128
Takaba Livestock Market,40.2242,3.398734
Isiolo Fresh Produce,38.7479,1.00606
Eldama Ravine,35.73309,-0.01985
Kongowea,39.68691,-4.038018
Karatina,37.12522,-0.482246
Mabera,34.44395,-1.166037
Chepareria,35.2,1.316616
Flax,35.48215,0.37328
Kasuku,36.37884,-0.132015
Kibuye,34.76318,-0.093348
Voi Livestock,38.8036,-3.559275
Wundanyi,38.18055,-3.064856
Mandera East Livestock Market,40.70562,3.228533
Bondo,34.2253,-0.100618
Illbissil Food Market,36.79411,-2.09798
Kapsowar,35.56027,0.980103
Bungoma town,34.56033,0.57054
Malimili Livestock Market,34.72517,0.225923
Makutano West Pokot,35.09127,1.256335
Tala Centre Market,37.32177,-1.264217
Tala Livestock Yard,37.32177,-1.264217
Sondu- Kericho,35.01154,-0.388986
Nyangusu,34.84329,-0.933107
Marindi,34.52107,-0.651119
Siaya,34.20014,-0.060401
Amoni,34.24522,0.617732
Lomut,35.56827,1.400565
Kibiok,35.18159,0.1541
Muhoroni,35.07965,-0.127299
Gikomba,36.05472,-0.301342
Chepsonoi Market,34.95011,0.18962
Cheptiret - Uasin Gishu,35.37019,0.376477
Rhamu Livestock Market,41.2216,3.929003
Garissa Livestock Market,40.35641,-0.523633
Kabarnet,35.74314,0.496524
Takaba Market,40.2242,3.398734
Othaya,36.82985,-0.519886
Wangige,36.71302,-1.219934
Nyansiongo,35.00082,-0.76366
Moyale Crops fresh produce,39.05842,3.515905
Jirime Livestock Market,38.00113,2.356674
Ijara Livestock Market,40.4919,-1.663719
Kalundu,38.0166,-1.35
Nakuru Wakulima,36.0712,-0.280272
